type,src,dst,cidx,didx,period,error,cktElement,cktTerminal,cktPhase,cktProperty
SmartMeter,4061,1,0,0,15000,1.667e-05,Load.4061,BUS1,PHASE_2,None
SmartMeter,4062,1,0,0,15000,1.667e-05,Load.4062,BUS1,PHASE_2,None
SmartMeter,4063,1,0,0,15000,1.667e-05,Load.4063,BUS1,PHASE_3,None
SmartMeter,4064,1,0,0,15000,1.667e-05,Load.4064,BUS1,PHASE_1,None
SmartMeter,4065,1,0,0,15000,1.667e-05,Load.4065,BUS1,PHASE_2,None
SmartMeter,4066,1,0,0,15000,1.667e-05,Load.4066,BUS1,PHASE_2,None
SmartMeter,4067,1,0,0,15000,1.667e-05,Load.4067,BUS1,PHASE_3,None
SmartMeter,4068,1,0,0,15000,1.667e-05,Load.4068,BUS1,PHASE_2,None
SmartMeter,4069,1,0,0,15000,1.667e-05,Load.4069,BUS1,PHASE_1,None
SmartMeter,4070,1,0,0,15000,1.667e-05,Load.4070,BUS1,PHASE_2,None
SmartMeter,4071,1,0,0,15000,1.667e-05,Load.4071,BUS1,PHASE_3,None
SmartMeter,4072,1,0,0,15000,1.667e-05,Load.4072,BUS1,PHASE_3,None
SmartMeter,4073,1,0,0,15000,1.667e-05,Load.4073,BUS1,PHASE_3,None
SmartMeter,4074,1,0,0,15000,1.667e-05,Load.4074,BUS1,PHASE_3,None
SmartMeter,4075,1,0,0,15000,1.667e-05,Load.4075,BUS1,PHASE_1,None
SmartMeter,4076,1,0,0,15000,1.667e-05,Load.4076,BUS1,PHASE_1,None
SmartMeter,4077,1,0,0,15000,1.667e-05,Load.4077,BUS1,PHASE_1,None
SmartMeter,4078,1,0,0,15000,1.667e-05,Load.4078,BUS1,PHASE_2,None
SmartMeter,4079,1,0,0,15000,1.667e-05,Load.4079,BUS1,PHASE_3,None
SmartMeter,4080,1,0,0,15000,1.667e-05,Load.4080,BUS1,PHASE_1,None
SmartMeter,4081,1,0,0,15000,1.667e-05,Load.4081,BUS1,PHASE_2,None
SmartMeter,4082,1,0,0,15000,1.667e-05,Load.4082,BUS1,PHASE_3,None
SmartMeter,4083,1,0,0,15000,1.667e-05,Load.4083,BUS1,PHASE_3,None
SmartMeter,4084,1,0,0,15000,1.667e-05,Load.4084,BUS1,PHASE_1,None
SmartMeter,4085,1,0,0,15000,1.667e-05,Load.4085,BUS1,PHASE_1,None
SmartMeter,4086,1,0,0,15000,1.667e-05,Load.4086,BUS1,PHASE_1,None
SmartMeter,4087,1,0,0,15000,1.667e-05,Load.4087,BUS1,PHASE_3,None
SmartMeter,4088,1,0,0,15000,1.667e-05,Load.4088,BUS1,PHASE_3,None
SmartMeter,4089,1,0,0,15000,1.667e-05,Load.4089,BUS1,PHASE_1,None
SmartMeter,4090,1,0,0,15000,1.667e-05,Load.4090,BUS1,PHASE_2,None
SmartMeter,4091,1,0,0,15000,1.667e-05,Load.4091,BUS1,PHASE_2,None
SmartMeter,4092,1,0,0,15000,1.667e-05,Load.4092,BUS1,PHASE_2,None
SmartMeter,4093,1,0,0,15000,1.667e-05,Load.4093,BUS1,PHASE_2,None
SmartMeter,4094,1,0,0,15000,1.667e-05,Load.4094,BUS1,PHASE_3,None
SmartMeter,4095,1,0,0,15000,1.667e-05,Load.4095,BUS1,PHASE_2,None
SmartMeter,4096,1,0,0,15000,1.667e-05,Load.4096,BUS1,PHASE_2,None
SmartMeter,4097,1,0,0,15000,1.667e-05,Load.4097,BUS1,PHASE_3,None
SmartMeter,4098,1,0,0,15000,1.667e-05,Load.4098,BUS1,PHASE_3,None
SmartMeter,4099,1,0,0,15000,1.667e-05,Load.4099,BUS1,PHASE_2,None
SmartMeter,4100,1,0,0,15000,1.667e-05,Load.4100,BUS1,PHASE_2,None
SmartMeter,4101,1,0,0,15000,1.667e-05,Load.4101,BUS1,PHASE_1,None
SmartMeter,4102,1,0,0,15000,1.667e-05,Load.4102,BUS1,PHASE_3,None
SmartMeter,4103,1,0,0,15000,1.667e-05,Load.4103,BUS1,PHASE_1,None
SmartMeter,4104,1,0,0,15000,1.667e-05,Load.4104,BUS1,PHASE_1,None
SmartMeter,4105,1,0,0,15000,1.667e-05,Load.4105,BUS1,PHASE_2,None
SmartMeter,4106,1,0,0,15000,1.667e-05,Load.4106,BUS1,PHASE_1,None
SmartMeter,4107,1,0,0,15000,1.667e-05,Load.4107,BUS1,PHASE_1,None
SmartMeter,4108,1,0,0,15000,1.667e-05,Load.4108,BUS1,PHASE_2,None
SmartMeter,4109,1,0,0,15000,1.667e-05,Load.4109,BUS1,PHASE_1,None
SmartMeter,4110,1,0,0,15000,1.667e-05,Load.4110,BUS1,PHASE_1,None
SmartMeter,5056,1,0,0,15000,1.667e-05,Load.5056,BUS1,PHASE_1,None
SmartMeter,5057,1,0,0,15000,1.667e-05,Load.5057,BUS1,PHASE_2,None
SmartMeter,5058,1,0,0,15000,1.667e-05,Load.5058,BUS1,PHASE_1,None
SmartMeter,5059,1,0,0,15000,1.667e-05,Load.5059,BUS1,PHASE_1,None
SmartMeter,5060,1,0,0,15000,1.667e-05,Load.5060,BUS1,PHASE_1,None
SmartMeter,5061,1,0,0,15000,1.667e-05,Load.5061,BUS1,PHASE_2,None
SmartMeter,5062,1,0,0,15000,1.667e-05,Load.5062,BUS1,PHASE_2,None
SmartMeter,5063,1,0,0,15000,1.667e-05,Load.5063,BUS1,PHASE_3,None
SmartMeter,5064,1,0,0,15000,1.667e-05,Load.5064,BUS1,PHASE_1,None
SmartMeter,5065,1,0,0,15000,1.667e-05,Load.5065,BUS1,PHASE_2,None
SmartMeter,5066,1,0,0,15000,1.667e-05,Load.5066,BUS1,PHASE_2,None
SmartMeter,5067,1,0,0,15000,1.667e-05,Load.5067,BUS1,PHASE_3,None
SmartMeter,5068,1,0,0,15000,1.667e-05,Load.5068,BUS1,PHASE_2,None
SmartMeter,5069,1,0,0,15000,1.667e-05,Load.5069,BUS1,PHASE_1,None
SmartMeter,5070,1,0,0,15000,1.667e-05,Load.5070,BUS1,PHASE_2,None
SmartMeter,5071,1,0,0,15000,1.667e-05,Load.5071,BUS1,PHASE_3,None
SmartMeter,5072,1,0,0,15000,1.667e-05,Load.5072,BUS1,PHASE_3,None
SmartMeter,5073,1,0,0,15000,1.667e-05,Load.5073,BUS1,PHASE_3,None
SmartMeter,5074,1,0,0,15000,1.667e-05,Load.5074,BUS1,PHASE_3,None
SmartMeter,5075,1,0,0,15000,1.667e-05,Load.5075,BUS1,PHASE_1,None
SmartMeter,5076,1,0,0,15000,1.667e-05,Load.5076,BUS1,PHASE_1,None
SmartMeter,5077,1,0,0,15000,1.667e-05,Load.5077,BUS1,PHASE_1,None
SmartMeter,5078,1,0,0,15000,1.667e-05,Load.5078,BUS1,PHASE_2,None
SmartMeter,5079,1,0,0,15000,1.667e-05,Load.5079,BUS1,PHASE_3,None
SmartMeter,5080,1,0,0,15000,1.667e-05,Load.5080,BUS1,PHASE_1,None
SmartMeter,5081,1,0,0,15000,1.667e-05,Load.5081,BUS1,PHASE_2,None
SmartMeter,5082,1,0,0,15000,1.667e-05,Load.5082,BUS1,PHASE_3,None
SmartMeter,5083,1,0,0,15000,1.667e-05,Load.5083,BUS1,PHASE_3,None
SmartMeter,5084,1,0,0,15000,1.667e-05,Load.5084,BUS1,PHASE_1,None
SmartMeter,5085,1,0,0,15000,1.667e-05,Load.5085,BUS1,PHASE_1,None
SmartMeter,5086,1,0,0,15000,1.667e-05,Load.5086,BUS1,PHASE_1,None
SmartMeter,5087,1,0,0,15000,1.667e-05,Load.5087,BUS1,PHASE_3,None
SmartMeter,5088,1,0,0,15000,1.667e-05,Load.5088,BUS1,PHASE_3,None
SmartMeter,5089,1,0,0,15000,1.667e-05,Load.5089,BUS1,PHASE_1,None
SmartMeter,5090,1,0,0,15000,1.667e-05,Load.5090,BUS1,PHASE_2,None
SmartMeter,5091,1,0,0,15000,1.667e-05,Load.5091,BUS1,PHASE_2,None
SmartMeter,5092,1,0,0,15000,1.667e-05,Load.5092,BUS1,PHASE_2,None
